Epoch Loss Val_Loss LR
138 8.384e+00 8.259e+00 5.000e-04
139 8.286e+00 9.422e+00 5.000e-04
140 8.289e+00 8.846e+00 5.000e-04
141 8.379e+00 8.575e+00 5.000e-04
142 8.239e+00 8.434e+00 5.000e-04
143 8.302e+00 1.011e+01 5.000e-04
144 8.179e+00 9.078e+00 5.000e-04
145 8.192e+00 9.169e+00 5.000e-04
146 8.291e+00 8.380e+00 5.000e-04
147 8.192e+00 1.092e+01 5.000e-04
148 8.110e+00 8.366e+00 5.000e-04
149 8.150e+00 1.081e+01 5.000e-04
150 8.173e+00 8.606e+00 5.000e-04
151 8.083e+00 8.445e+00 5.000e-04
152 8.019e+00 8.295e+00 5.000e-04
153 8.131e+00 9.409e+00 5.000e-04
154 8.000e+00 8.454e+00 5.000e-04
155 7.981e+00 8.421e+00 5.000e-04
156 7.992e+00 8.493e+00 5.000e-04
157 8.024e+00 9.398e+00 5.000e-04
158 7.985e+00 9.010e+00 5.000e-04
159 8.053e+00 8.315e+00 5.000e-04
160 7.940e+00 8.686e+00 5.000e-04
161 8.190e+00 8.444e+00 5.000e-04
162 7.827e+00 9.427e+00 5.000e-04
163 7.920e+00 9.212e+00 5.000e-04
164 7.871e+00 9.132e+00 5.000e-04
165 7.869e+00 8.394e+00 5.000e-04
166 7.922e+00 8.191e+00 5.000e-04
167 8.011e+00 8.585e+00 5.000e-04
168 7.874e+00 9.084e+00 5.000e-04
169 7.878e+00 8.364e+00 5.000e-04
170 7.856e+00 7.889e+00 5.000e-04
171 7.827e+00 8.562e+00 5.000e-04
172 7.925e+00 8.069e+00 5.000e-04
173 7.810e+00 7.785e+00 5.000e-04
174 7.735e+00 8.382e+00 5.000e-04
175 7.745e+00 8.388e+00 5.000e-04
176 7.771e+00 9.333e+00 5.000e-04
177 7.803e+00 1.090e+01 5.000e-04
178 7.743e+00 7.990e+00 5.000e-04
179 7.834e+00 7.917e+00 5.000e-04
180 7.759e+00 8.955e+00 5.000e-04
181 7.795e+00 7.912e+00 5.000e-04
182 7.623e+00 7.831e+00 5.000e-04
183 7.738e+00 8.152e+00 5.000e-04
184 7.735e+00 8.620e+00 5.000e-04
185 7.677e+00 7.720e+00 5.000e-04
186 7.562e+00 8.724e+00 5.000e-04
187 7.628e+00 8.522e+00 5.000e-04
188 7.641e+00 8.231e+00 5.000e-04
189 7.700e+00 8.307e+00 5.000e-04
190 7.674e+00 8.250e+00 5.000e-04
191 7.547e+00 9.825e+00 5.000e-04
192 7.608e+00 8.222e+00 5.000e-04
193 7.533e+00 8.275e+00 5.000e-04
194 7.514e+00 1.009e+01 5.000e-04
195 7.768e+00 8.230e+00 5.000e-04
196 7.424e+00 8.232e+00 5.000e-04
197 7.504e+00 7.699e+00 5.000e-04
198 7.551e+00 8.790e+00 5.000e-04
199 7.571e+00 7.629e+00 5.000e-04
200 6.782e+00 7.639e+00 2.500e-04
201 6.845e+00 7.351e+00 2.500e-04
202 6.759e+00 8.123e+00 2.500e-04
203 6.791e+00 8.323e+00 2.500e-04
204 6.766e+00 7.644e+00 2.500e-04
205 6.784e+00 8.362e+00 2.500e-04
206 6.795e+00 7.410e+00 2.500e-04
207 6.694e+00 7.462e+00 2.500e-04
208 6.718e+00 7.332e+00 2.500e-04
209 6.732e+00 7.547e+00 2.500e-04
210 6.708e+00 7.595e+00 2.500e-04
211 6.691e+00 7.287e+00 2.500e-04
212 6.676e+00 7.600e+00 2.500e-04
213 6.668e+00 7.660e+00 2.500e-04
214 6.666e+00 7.821e+00 2.500e-04
215 6.651e+00 7.390e+00 2.500e-04
216 6.684e+00 7.367e+00 2.500e-04
217 6.655e+00 7.764e+00 2.500e-04
218 6.643e+00 7.645e+00 2.500e-04
219 6.634e+00 7.432e+00 2.500e-04
220 6.636e+00 7.312e+00 2.500e-04
221 6.650e+00 7.725e+00 2.500e-04
222 6.623e+00 7.382e+00 2.500e-04
223 6.687e+00 7.530e+00 2.500e-04
224 6.572e+00 7.915e+00 2.500e-04
225 6.635e+00 7.370e+00 2.500e-04
226 6.643e+00 7.724e+00 2.500e-04
227 6.633e+00 7.187e+00 2.500e-04
228 6.619e+00 7.506e+00 2.500e-04
229 6.613e+00 7.177e+00 2.500e-04
230 6.597e+00 8.334e+00 2.500e-04
231 6.513e+00 7.493e+00 2.500e-04
232 6.555e+00 7.707e+00 2.500e-04
233 6.537e+00 7.252e+00 2.500e-04
234 6.541e+00 7.346e+00 2.500e-04
235 6.642e+00 7.331e+00 2.500e-04
236 6.576e+00 7.323e+00 2.500e-04
237 6.534e+00 7.332e+00 2.500e-04
238 6.540e+00 7.211e+00 2.500e-04
239 6.545e+00 7.315e+00 2.500e-04
240 6.544e+00 7.171e+00 2.500e-04
241 6.495e+00 7.698e+00 2.500e-04
242 6.598e+00 7.309e+00 2.500e-04
